date,name,sport,distance_km,elevation_m,pr_count,achievements,kudos,source_page
2026-01-23,Evening Trail Run,TrailRun,8,183,1,5,44,Personal Records
2026-01-18,Evening Trail Run,TrailRun,6.03,122,2,11,45,Personal Records
2026-01-16,Evening Run,Run,3.06,46,1,1,44,Personal Records
2026-01-11,Evening Trail Run,TrailRun,5.1,99,1,10,45,Personal Records
2025-10-26,Evening Walk,Run,10.08,117.4,1,3,49,Personal Records
2025-10-23,Night Stalkers x Leaf-Peeping,Run,14.06,176.4,4,8,40,Personal Records
2025-10-07,Morning Refreshments,Walk,10.21,43.9,1,13,49,Personal Records
2025-08-03,Morning Refreshments,Walk,15.06,59.2,4,16,55,Personal Records
2025-07-12,Evening Refreshments,Run,12.33,367.7,2,3,55,Personal Records
2025-04-21,Ngorongoro Game Drive,GravelRide,64.01,1171.9,2,4,0,Personal Records
2025-02-23,Kili Intl' Half Marathon 2025,Run,21.75,348.3,18,20,96,Personal Records
2025-02-22,Tour de Chapel x Happy Sabbath!,Run,21.31,522.1,4,8,63,Personal Records
2025-02-20,Kili 2025 x Kit Collection I,Run,6.88,131.7,1,1,56,Personal Records
2025-02-19,Morning Refresh x Kili Preps Vol 3,Walk,30.03,833,2,15,51,Personal Records
2025-02-18,Evening Stretch x Memorial,Run,12.18,161.5,4,7,48,Personal Records
2025-01-24,Evening Walk,Run,5.9,178,1,5,50,Personal Records
2025-01-15,Evening Walk,Run,12.01,179.7,1,2,50,Personal Records
2025-01-11,Morning Walk x Kili Preps Vol 1,Run,27.19,475.8,3,22,68,Personal Records
2024-11-25,Morning Ride,Ride,6.8,102.5,1,5,39,Personal Records
2024-10-09,Morning Walk x Athlete Intelligence Beta,Walk,5.05,27,1,8,26,Personal Records
2024-07-04,Evening Walk,Walk,8.51,153.8,1,6,43,Personal Records
2024-05-04,Sightseeing Joburg,GravelRide,87.39,1158.1,6,17,21,Personal Records
2024-04-27,OR Tambo x The Archer,GravelRide,31.69,248.1,5,8,14,Personal Records
2024-03-22,Evening Walk x Row Yourself,Walk,8.15,54.4,1,9,44,Personal Records
2024-02-25,Kili Half Marathon 2024 x #PowerWalk,Run,21.54,349,18,20,90,Personal Records
2024-02-23,Evening Tapering for Kili Vol 1,TrailRun,7.54,48.1,2,4,44,Personal Records
2024-01-13,Happy Sabbath x Kili Preps Vol 4,TrailRun,34.78,841.4,7,10,70,Personal Records
2024-01-07,Evening Trail x Kili Preps Vol 2,TrailRun,10.32,126.9,1,5,58,Personal Records
2024-01-06,Morning Trail x Kili Preps Vol 1,TrailRun,22.67,401.3,3,24,63,Personal Records
2023-08-26,Night Run,Run,11.01,45.3,8,12,0,Personal Records
2023-08-26,Dar Night Run 2023,Run,11.26,45.5,8,15,46,Personal Records
2023-08-20,Selous Marathon Recovery,TrailRun,18.17,1036.6,2,5,57,Personal Records
2023-08-19,Selous Marathon 2023 Trail Run,TrailRun,18.75,1059.8,1,18,74,Personal Records
2023-08-13,CRDB Marathon 2023,Walk,10.02,20.2,3,6,24,Personal Records
2023-07-23,NBC Marathon 2023,Run,10.3,82,3,12,62,Personal Records
2023-06-25,Morning Run | JKT Marathon 2023,Run,10.23,48.5,2,4,61,Personal Records
2023-06-12,Evening Trail Run,TrailRun,5.3,20.8,1,1,42,Personal Records
2023-06-09,Morning Run,Run,10.1,0,8,11,42,Personal Records
2023-06-04,Morning Run,Run,10.04,0,6,9,49,Personal Records
2023-06-03,Evening Run,Run,10.02,0,2,9,43,Personal Records
2023-05-31,Evening Run | On the Road Again,Run,21.2,0,4,18,47,Personal Records
2023-05-23,Evening Run | Road to Redemption,Run,10.05,0,4,12,45,Personal Records
2023-04-22,Morning Walk | Happy Sabbath!,Walk,10.34,66.2,1,4,45,Personal Records
2023-04-10,Evening Walk,Run,8.09,51.7,1,5,55,Personal Records
2023-03-04,Final Touches | Kili Expedition,TrailRun,25.68,435.8,9,24,76,Personal Records
2023-02-26,Kili Half Marathon 2023 | #StrictWalk,Run,21.33,345.4,18,19,125,Personal Records
2023-02-25,Easy Stretch | Happy Sabbath,Run,5.25,9.1,2,6,40,Personal Records
2023-02-19,Morning Hike | Bondwa Peak 🗻,TrailRun,10.75,1194.9,1,5,68,Personal Records
2023-01-22,Morning Hike | Reverse Fixture,TrailRun,22.71,1327.6,5,13,85,Personal Records
2023-01-21,Morning Hike | Happy Sabbath!,TrailRun,16.07,920,3,13,81,Personal Records
2023-01-09,Evening Walk | Ploughing New Ground,Walk,5.09,28.6,1,1,44,Personal Records
2023-01-08,Evening Walk | Back to the Basecamp,Walk,8.7,53.2,3,18,46,Personal Records
2022-12-15,Evening Walk | Foot Stomper VIII,Walk,5.64,30.5,1,2,41,Personal Records
2022-12-06,Morning Walk | Foot Stomper VI,Walk,6.31,31.6,1,1,40,Personal Records
2022-11-28,Evening Walk | Foot Stomper I,Run,6.62,36.2,1,2,52,Personal Records
2022-11-27,Morning Walk | Unflinching,Run,10.46,64.1,3,7,37,Personal Records
2022-11-26,Evening Walk | Happy Sabbath!,Run,8.84,53.2,2,6,36,Personal Records
2022-11-25,Evening Exchange | Day After Thanksgiving Day,Run,8.11,52.1,1,2,35,Personal Records
2022-11-24,Evening Walk | Thanksgiving Day.,Run,5.71,30.8,1,1,33,Personal Records
2022-11-23,Evening Exchange | Thanksgiving,Walk,5.7,30.6,1,3,36,Personal Records
2022-11-22,Evening Exchange,Walk,8.1,54.2,1,6,34,Personal Records
2022-11-19,Evening Walk | DO MORE.,Run,6.94,36.2,3,6,37,Personal Records
2022-11-18,You are what you do,Walk,6.94,38.5,1,3,27,Personal Records
2022-11-13,Nobody Cares Work Harder,Run,5.14,35.4,1,4,34,Personal Records
2022-11-12,Sabbath Greetings,Run,8.1,31.1,3,9,35,Personal Records
2022-11-11,"Keep Training, Keep Learning",Run,6.78,25.8,2,8,40,Personal Records
2022-11-05,Step it up,Run,11.29,77.1,1,5,45,Personal Records
2022-11-04,Evening Walk | DEFCOR,Walk,6.71,36.2,1,1,33,Personal Records
2022-11-02,Evening Walk | #354,Run,7.72,42.6,1,4,28,Personal Records
2022-11-02,Morning Walk,Walk,4.29,14.4,1,3,20,Personal Records
2022-10-26,Evening Walk,Walk,12.02,204.1,1,1,30,Personal Records
2022-10-22,Evening Walk,Walk,7.39,45.3,1,2,37,Personal Records
2022-10-18,Morning Walk,Walk,4.33,14.8,1,3,35,Personal Records
2022-10-17,Route Survey II,Walk,7.02,42.5,1,9,33,Personal Records
2022-10-15,Mpanga Kipengere Trail Run,TrailRun,9.53,323.7,3,9,44,Personal Records
2022-08-20,Seluos Marathon 2022 Trail Run,TrailRun,18.6,972.8,7,11,92,Personal Records
2021-12-04,UDSM Marathon 2021,Run,9.92,90,2,6,56,Personal Records
2021-11-17,Morning Run,Run,11.87,63.9,1,3,72,Personal Records
2021-11-07,NBC Dodoma Marathon,Run,10.12,74.1,10,12,55,Personal Records
2021-10-24,Morning Run,Run,10.76,90,1,8,46,Personal Records
2021-10-22,Morning Run / Jamhuri Stadium,Run,5.01,57.6,5,6,41,Personal Records
2021-10-05,Evening Run,Run,3.65,16.6,1,1,35,Personal Records
2021-10-02,Capital City Marathon Route Survey,Run,10.1,107.6,3,17,38,Personal Records
2021-09-08,Morning Run,Run,4.44,39.3,5,11,31,Personal Records
2021-09-06,...and it’s Monday again. GOOD.,Run,8.62,63.3,6,9,32,Personal Records
2021-07-17,Morning Walk,Walk,0.97,32.2,1,2,5,Personal Records
2021-07-08,Morning Walk,Walk,4.31,66,1,1,4,Personal Records
